Stage,Group,Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Group,A,1,Fri Jun 11 2021,21:00,CEST/+0200,Turkey,0-3,0-0,Italy,,,2021-06-11T19:00:00Z
Group,A,1,Sat Jun 12 2021,15:00,CEST/+0200,Wales,1-1,0-0,Switzerland,,,2021-06-12T13:00:00Z
Group,B,1,Sat Jun 12 2021,20:30,CEST/+0200,Denmark,0-1,0-0,Finland,,,2021-06-12T18:30:00Z
Group,B,1,Sat Jun 12 2021,21:00,CEST/+0200,Belgium,3-0,2-0,Russia,,,2021-06-12T19:00:00Z
Group,D,1,Sun Jun 13 2021,15:00,CEST/+0200,England,1-0,0-0,Croatia,,,2021-06-13T13:00:00Z
Group,C,1,Sun Jun 13 2021,18:00,CEST/+0200,Austria,3-1,1-1,North Macedonia,,,2021-06-13T16:00:00Z
Group,C,1,Sun Jun 13 2021,21:00,CEST/+0200,Netherlands,3-2,0-0,Ukraine,,,2021-06-13T19:00:00Z
Group,D,1,Mon Jun 14 2021,15:00,CEST/+0200,Scotland,0-2,0-1,Czechia,,,2021-06-14T13:00:00Z
Group,E,1,Mon Jun 14 2021,18:00,CEST/+0200,Poland,1-2,0-1,Slovakia,,,2021-06-14T16:00:00Z
Group,E,1,Mon Jun 14 2021,21:00,CEST/+0200,Spain,0-0,0-0,Sweden,,,2021-06-14T19:00:00Z
Group,F,1,Tue Jun 15 2021,18:00,CEST/+0200,Hungary,0-3,0-0,Portugal,,,2021-06-15T16:00:00Z
Group,F,1,Tue Jun 15 2021,21:00,CEST/+0200,France,1-0,1-0,Germany,,,2021-06-15T19:00:00Z
Group,B,2,Wed Jun 16 2021,15:00,CEST/+0200,Finland,0-1,0-1,Russia,,,2021-06-16T13:00:00Z
Group,A,2,Wed Jun 16 2021,18:00,CEST/+0200,Turkey,0-2,0-1,Wales,,,2021-06-16T16:00:00Z
Group,A,2,Wed Jun 16 2021,21:00,CEST/+0200,Italy,3-0,1-0,Switzerland,,,2021-06-16T19:00:00Z
Group,C,2,Thu Jun 17 2021,15:00,CEST/+0200,Ukraine,2-1,2-0,North Macedonia,,,2021-06-17T13:00:00Z
Group,B,2,Thu Jun 17 2021,18:00,CEST/+0200,Denmark,1-2,1-0,Belgium,,,2021-06-17T16:00:00Z
Group,C,2,Thu Jun 17 2021,21:00,CEST/+0200,Netherlands,2-0,1-0,Austria,,,2021-06-17T19:00:00Z
Group,E,2,Fri Jun 18 2021,15:00,CEST/+0200,Sweden,1-0,0-0,Slovakia,,,2021-06-18T13:00:00Z
Group,D,2,Fri Jun 18 2021,18:00,CEST/+0200,Croatia,1-1,0-1,Czechia,,,2021-06-18T16:00:00Z
Group,D,2,Fri Jun 18 2021,21:00,CEST/+0200,England,0-0,0-0,Scotland,,,2021-06-18T19:00:00Z
Group,F,2,Sat Jun 19 2021,15:00,CEST/+0200,Hungary,1-1,1-0,France,,,2021-06-19T13:00:00Z
Group,F,2,Sat Jun 19 2021,18:00,CEST/+0200,Portugal,2-4,1-2,Germany,,,2021-06-19T16:00:00Z
Group,E,2,Sat Jun 19 2021,21:00,CEST/+0200,Spain,1-1,1-0,Poland,,,2021-06-19T19:00:00Z
Group,A,3,Sun Jun 20 2021,18:00,CEST/+0200,Italy,1-0,1-0,Wales,,,2021-06-20T16:00:00Z
Group,A,3,Sun Jun 20 2021,18:00,CEST/+0200,Switzerland,3-1,2-0,Turkey,,,2021-06-20T16:00:00Z
Group,C,3,Mon Jun 21 2021,18:00,CEST/+0200,North Macedonia,0-3,0-1,Netherlands,,,2021-06-21T16:00:00Z
Group,C,3,Mon Jun 21 2021,18:00,CEST/+0200,Ukraine,0-1,0-1,Austria,,,2021-06-21T16:00:00Z
Group,B,3,Mon Jun 21 2021,21:00,CEST/+0200,Russia,1-4,0-1,Denmark,,,2021-06-21T19:00:00Z
Group,B,3,Mon Jun 21 2021,21:00,CEST/+0200,Finland,0-2,0-0,Belgium,,,2021-06-21T19:00:00Z
Group,D,3,Tue Jun 22 2021,21:00,CEST/+0200,Croatia,3-1,1-1,Scotland,,,2021-06-22T19:00:00Z
Group,D,3,Tue Jun 22 2021,21:00,CEST/+0200,Czechia,0-1,0-1,England,,,2021-06-22T19:00:00Z
Group,E,3,Wed Jun 23 2021,18:00,CEST/+0200,Slovakia,0-5,0-2,Spain,,,2021-06-23T16:00:00Z
Group,E,3,Wed Jun 23 2021,18:00,CEST/+0200,Sweden,3-2,1-0,Poland,,,2021-06-23T16:00:00Z
Group,F,3,Wed Jun 23 2021,21:00,CEST/+0200,Germany,2-2,0-1,Hungary,,,2021-06-23T19:00:00Z
Group,F,3,Wed Jun 23 2021,21:00,CEST/+0200,Portugal,2-2,1-1,France,,,2021-06-23T19:00:00Z
Finals,,Round of 16,Sat Jun 26 2021,18:00,CEST/+0200,Wales,0-4,0-1,Denmark,,,2021-06-26T16:00:00Z
Finals,,Round of 16,Sat Jun 26 2021,21:00,CEST/+0200,Italy,0-0,0-0,Austria,2-1,,2021-06-26T19:00:00Z
Finals,,Round of 16,Sun Jun 27 2021,18:00,CEST/+0200,Netherlands,0-2,0-0,Czechia,,,2021-06-27T16:00:00Z
Finals,,Round of 16,Sun Jun 27 2021,21:00,CEST/+0200,Belgium,1-0,1-0,Portugal,,,2021-06-27T19:00:01Z
Finals,,Round of 16,Mon Jun 28 2021,18:00,CEST/+0200,Croatia,3-3,1-1,Spain,3-5,,2021-06-28T16:00:01Z
Finals,,Round of 16,Mon Jun 28 2021,21:00,CEST/+0200,France,3-3,0-1,Switzerland,3-3,4-5,2021-06-28T19:00:01Z
Finals,,Round of 16,Tue Jun 29 2021,18:00,CEST/+0200,England,2-0,0-0,Germany,,,2021-06-29T16:00:01Z
Finals,,Round of 16,Tue Jun 29 2021,21:00,CEST/+0200,Sweden,1-1,1-1,Ukraine,1-2,,2021-06-29T19:00:01Z
Finals,,Quarterfinals,Fri Jul 2 2021,18:00,CEST/+0200,Switzerland,1-1,0-1,Spain,1-1,1-3,2021-07-02T16:00:00Z
Finals,,Quarterfinals,Fri Jul 2 2021,21:00,CEST/+0200,Belgium,1-2,1-2,Italy,,,2021-07-02T19:00:00Z
Finals,,Quarterfinals,Sat Jul 3 2021,18:00,CEST/+0200,Czechia,1-2,0-2,Denmark,,,2021-07-03T16:00:00Z
Finals,,Quarterfinals,Sat Jul 3 2021,21:00,CEST/+0200,Ukraine,0-4,0-1,England,,,2021-07-03T19:00:00Z
Finals,,Semifinals,Tue Jul 6 2021,21:00,CEST/+0200,Italy,1-1,0-0,Spain,1-1,4-2,2021-07-06T19:00:00Z
Finals,,Semifinals,Wed Jul 7 2021,21:00,CEST/+0200,England,1-1,1-1,Denmark,2-1,,2021-07-07T19:00:00Z
Finals,,Final,Sun Jul 11 2021,21:00,CEST/+0200,Italy,1-1,0-1,England,1-1,3-2,2021-07-11T19:00:00Z
